i train dev test
0 0.692997 0.693043 0.531027
1 0.692694 0.692841 0.529379
2 0.692391 0.69262 0.5162
3 0.692055 0.692382 0.516749
4 0.691719 0.692123 0.511258
5 0.691317 0.691803 0.512905
6 0.690877 0.691425 0.515102
7 0.690363 0.690938 0.520044
8 0.689735 0.690299 0.52279
9 0.688955 0.689383 0.526085
10 0.687945 0.688037 0.536518
11 0.686554 0.685925 0.5486
12 0.684677 0.682882 0.552444
13 0.682131 0.678712 0.555189
14 0.678701 0.673142 0.555189
15 0.674604 0.66672 0.564525
16 0.669919 0.658949 0.571115
17 0.664167 0.650275 0.570016
18 0.657802 0.642142 0.573311
19 0.651024 0.634851 0.581549
20 0.644972 0.628695 0.585393
21 0.638676 0.621986 0.591982
22 0.632439 0.617085 0.60022
23 0.62616 0.612719 0.605711
24 0.620105 0.607235 0.618342
25 0.612638 0.601898 0.629874
26 0.60528 0.598282 0.637013
27 0.598118 0.593044 0.650741
28 0.590261 0.58798 0.657331
29 0.582814 0.5838 0.660077
30 0.574241 0.579754 0.669412
31 0.566348 0.575402 0.673806
32 0.557854 0.569397 0.680945
33 0.548557 0.560706 0.69028
34 0.539344 0.55328 0.69687
35 0.531334 0.543751 0.704009
36 0.520598 0.539307 0.710049
37 0.510953 0.533268 0.713893
38 0.502332 0.529311 0.719385
39 0.492385 0.526995 0.716639
40 0.483463 0.527524 0.718836
41 0.474179 0.526327 0.726524
42 0.46433 0.526905 0.728171
43 0.45684 0.527115 0.729819
44 0.448976 0.530063 0.733114
45 0.439776 0.536415 0.734761
46 0.432922 0.538592 0.738056
47 0.425279 0.540994 0.742998
48 0.417286 0.54458 0.741351
49 0.410853 0.547171 0.747941
50 0.403898 0.548557 0.750137
51 0.396058 0.552053 0.746842
52 0.389405 0.550946 0.746293
53 0.382346 0.551233 0.74849
54 0.375714 0.556291 0.752334
55 0.37002 0.555201 0.75453
56 0.364308 0.553366 0.75508
57 0.359442 0.555072 0.758924
58 0.351093 0.553054 0.758924
59 0.346277 0.549745 0.758924
60 0.339565 0.544867 0.756727
61 0.33572 0.548339 0.758924
62 0.329976 0.551154 0.761669
63 0.324849 0.551068 0.762768
64 0.318714 0.549899 0.751785
65 0.314805 0.550851 0.759473
66 0.311781 0.54644 0.756727
67 0.30555 0.545671 0.764415
68 0.306024 0.547852 0.758375
69 0.296743 0.545429 0.758375
70 0.292431 0.549011 0.76112
71 0.288055 0.550303 0.762768
72 0.284351 0.549418 0.763866
73 0.280412 0.550157 0.766063
74 0.276976 0.551921 0.76112
75 0.274734 0.554478 0.756727
76 0.270088 0.55672 0.764415
77 0.266283 0.561407 0.766063
78 0.263139 0.562061 0.766063
79 0.259682 0.565592 0.766612
80 0.255914 0.566076 0.767161
81 0.25419 0.569014 0.762768
82 0.252794 0.570638 0.768808
83 0.247264 0.572532 0.767161
84 0.245271 0.575181 0.768808
85 0.24223 0.581411 0.767161
86 0.240392 0.578096 0.765513
87 0.23738 0.581562 0.764415
88 0.234414 0.581425 0.768259
89 0.232597 0.585176 0.76112
90 0.230377 0.589874 0.766612
91 0.226042 0.594805 0.764964
92 0.223881 0.593211 0.768259
93 0.221732 0.595597 0.772103
94 0.219916 0.598638 0.768259
95 0.21711 0.604064 0.764415
96 0.215488 0.61002 0.768808
97 0.211933 0.611703 0.763866
98 0.210256 0.61737 0.772103
99 0.208892 0.615947 0.766612
