i train dev test
0 0.692999 0.692924 0.564525
1 0.692729 0.692732 0.585393
2 0.692438 0.692537 0.576606
3 0.692143 0.692332 0.558484
4 0.691823 0.692118 0.549698
5 0.691501 0.691889 0.545305
6 0.691125 0.691643 0.538166
7 0.690732 0.691365 0.533773
8 0.690306 0.691055 0.529929
9 0.689753 0.69069 0.527183
10 0.689189 0.690266 0.529929
11 0.688523 0.689759 0.52883
12 0.687721 0.689129 0.532125
13 0.686863 0.688332 0.53542
14 0.685772 0.687292 0.53542
15 0.684503 0.686027 0.537068
16 0.683113 0.684455 0.538715
17 0.681349 0.682382 0.540912
18 0.679325 0.680067 0.540912
19 0.676924 0.676884 0.538715
20 0.674348 0.67383 0.539813
21 0.671504 0.670455 0.542559
22 0.668491 0.667446 0.543657
23 0.665274 0.664084 0.544756
24 0.662177 0.661097 0.546952
25 0.659193 0.658073 0.547501
26 0.655915 0.655054 0.551345
27 0.652118 0.652824 0.557386
28 0.64858 0.649321 0.560681
29 0.644758 0.646706 0.566172
30 0.641135 0.642992 0.572762
31 0.636644 0.640075 0.582098
32 0.631668 0.636405 0.584294
33 0.626906 0.632528 0.590884
34 0.621318 0.629487 0.593081
35 0.616363 0.62651 0.596925
36 0.610562 0.624132 0.602416
37 0.604513 0.620421 0.607359
38 0.598594 0.616295 0.615047
39 0.592428 0.613342 0.615596
40 0.585209 0.611314 0.621636
41 0.578428 0.607715 0.623833
42 0.571498 0.606428 0.629325
43 0.564259 0.603195 0.629874
44 0.557214 0.602035 0.634816
45 0.548536 0.600758 0.63866
46 0.541307 0.596703 0.648545
47 0.532819 0.595046 0.655135
48 0.525708 0.590955 0.655135
49 0.517811 0.590948 0.66447
50 0.510886 0.589803 0.674904
51 0.503375 0.586204 0.6771
52 0.495684 0.586216 0.683141
53 0.487013 0.586454 0.69028
54 0.480553 0.584362 0.691928
55 0.472203 0.5783 0.695772
56 0.464183 0.582107 0.699616
57 0.455467 0.577761 0.705107
58 0.449192 0.580094 0.708951
59 0.442011 0.582337 0.707853
60 0.4332 0.580493 0.708402
61 0.425966 0.581587 0.706755
62 0.419178 0.584518 0.713893
63 0.410364 0.580773 0.713893
64 0.402021 0.581517 0.7095
65 0.393152 0.57873 0.715541
66 0.385545 0.579328 0.717738
67 0.37841 0.576259 0.72872
68 0.369048 0.575123 0.728171
69 0.360988 0.576563 0.731466
70 0.354059 0.577973 0.739154
71 0.34887 0.577492 0.736409
72 0.340898 0.582803 0.741351
73 0.335309 0.581689 0.737507
74 0.328181 0.58528 0.742449
75 0.322829 0.587671 0.75508
76 0.316419 0.593908 0.749588
77 0.310015 0.595676 0.751785
78 0.306915 0.602247 0.751785
79 0.301337 0.605774 0.753432
80 0.2976 0.606818 0.744097
81 0.292237 0.608786 0.751236
82 0.287351 0.587033 0.759473
83 0.282732 0.59344 0.75508
84 0.292103 0.612965 0.762768
85 0.279194 0.617824 0.75453
86 0.272162 0.621406 0.760571
87 0.26947 0.624529 0.769357
88 0.265163 0.636211 0.757276
89 0.261829 0.641049 0.767161
90 0.258583 0.645462 0.765513
91 0.256504 0.65884 0.759473
92 0.254358 0.65781 0.762768
93 0.24876 0.662806 0.762768
94 0.251381 0.670539 0.763866
95 0.24806 0.682702 0.76771
96 0.24648 0.681167 0.769907
97 0.243219 0.681983 0.762768
98 0.239604 0.687928 0.762768
99 0.234816 0.688283 0.766063
