i train dev test
0 0.692164 0.691962 0.520044
1 0.690479 0.690754 0.527732
2 0.688587 0.689417 0.52883
3 0.686334 0.687788 0.533224
4 0.683691 0.685751 0.539813
5 0.680491 0.683096 0.544756
6 0.676329 0.679925 0.545854
7 0.671208 0.676013 0.544206
8 0.665371 0.67149 0.549149
9 0.658273 0.666415 0.561779
10 0.650816 0.660743 0.566172
11 0.641891 0.654538 0.576057
12 0.632132 0.647204 0.592532
13 0.621758 0.639895 0.609555
14 0.610997 0.632137 0.616145
15 0.600531 0.624244 0.64525
16 0.588619 0.616728 0.649643
17 0.577411 0.609208 0.663921
18 0.566678 0.601144 0.6771
19 0.555005 0.59393 0.691378
20 0.544016 0.58697 0.701812
21 0.532651 0.580973 0.714992
22 0.522545 0.575193 0.718836
23 0.512826 0.570697 0.721582
24 0.503463 0.566796 0.734212
25 0.49395 0.561221 0.737507
26 0.48431 0.557544 0.740802
27 0.476235 0.554188 0.745195
28 0.468049 0.551561 0.74849
29 0.460209 0.549061 0.76112
30 0.451897 0.546014 0.764415
31 0.444577 0.542841 0.761669
32 0.438026 0.541796 0.760022
33 0.431509 0.539545 0.769907
34 0.425213 0.538973 0.771005
35 0.420217 0.536685 0.771554
36 0.41418 0.535809 0.778693
37 0.408389 0.534718 0.778693
38 0.402538 0.533839 0.777046
39 0.398274 0.532564 0.781988
40 0.394166 0.532139 0.782537
41 0.389125 0.532794 0.781988
42 0.385257 0.533787 0.777046
43 0.380253 0.532332 0.78034
44 0.377141 0.531455 0.782537
45 0.372417 0.529726 0.785832
46 0.368748 0.530816 0.791323
47 0.365411 0.529144 0.791323
48 0.362093 0.52868 0.787479
49 0.358834 0.528556 0.789127
50 0.355594 0.52866 0.788029
51 0.351687 0.528734 0.789676
52 0.349149 0.531328 0.789127
53 0.346435 0.530696 0.792971
54 0.343231 0.529198 0.796266
55 0.340912 0.530202 0.791323
56 0.338473 0.530651 0.79352
57 0.335221 0.529504 0.798462
58 0.333487 0.530471 0.795167
59 0.331141 0.530346 0.795717
60 0.328519 0.530616 0.797364
61 0.326151 0.529282 0.797913
62 0.3232 0.529989 0.799012
63 0.322424 0.531559 0.795717
64 0.319658 0.531358 0.802306
65 0.31861 0.533876 0.798462
66 0.31723 0.532129 0.805601
67 0.315129 0.532895 0.80011
68 0.31337 0.533004 0.802306
69 0.310229 0.531719 0.803405
70 0.309323 0.531849 0.805601
71 0.307746 0.532854 0.804503
72 0.305837 0.532936 0.80615
73 0.304475 0.533945 0.805052
74 0.302631 0.534924 0.80615
75 0.301291 0.533605 0.808347
76 0.29913 0.535766 0.801757
77 0.29839 0.535528 0.804503
78 0.296057 0.535601 0.811642
79 0.295047 0.535028 0.808896
80 0.294231 0.536542 0.80615
81 0.292448 0.535835 0.809995
82 0.291487 0.535503 0.809995
83 0.291077 0.535246 0.809995
84 0.289458 0.533809 0.809995
85 0.287237 0.53411 0.81274
86 0.285315 0.535171 0.8067
87 0.28486 0.535942 0.809445
88 0.285068 0.535484 0.809445
89 0.283455 0.536075 0.810544
90 0.281757 0.535813 0.811642
91 0.280402 0.537033 0.810544
92 0.279814 0.538926 0.8067
93 0.279385 0.536532 0.808896
94 0.278259 0.535363 0.816035
95 0.278145 0.538344 0.808347
96 0.276107 0.534676 0.811093
97 0.275067 0.537408 0.81274
98 0.274173 0.534921 0.818232
99 0.273354 0.533372 0.818232
