/Library/Frameworks/Python.framework/Versions/3.5/bin/python3 /Users/harper/IdeaProjects/TTIC31210/hw2/lm_hingeloss.py
Initial dev accuracy 0.0005, test accuracy 0.0001
Epoch 0, time 22 secs, train loss 357.8492, train accuracy 0.1837, dev accuracy 0.2314, test accuracy 0.2289
Epoch 1, time 21 secs, train loss 169.1637, train accuracy 0.2351, dev accuracy 0.2505, test accuracy 0.2520
Epoch 2, time 24 secs, train loss 120.5303, train accuracy 0.2523, dev accuracy 0.2633, test accuracy 0.2596
Epoch 3, time 22 secs, train loss 98.1851, train accuracy 0.2614, dev accuracy 0.2661, test accuracy 0.2679
Epoch 4, time 21 secs, train loss 81.5763, train accuracy 0.2687, dev accuracy 0.2814, test accuracy 0.2762
Epoch 5, time 21 secs, train loss 69.7692, train accuracy 0.2745, dev accuracy 0.2824, test accuracy 0.2762
Epoch 6, time 21 secs, train loss 61.2002, train accuracy 0.2792, dev accuracy 0.2814, test accuracy 0.2780
Epoch 7, time 22 secs, train loss 54.9100, train accuracy 0.2825, dev accuracy 0.2757, test accuracy 0.2717
Epoch 8, time 21 secs, train loss 49.2569, train accuracy 0.2860, dev accuracy 0.2857, test accuracy 0.2809
Epoch 9, time 21 secs, train loss 44.8438, train accuracy 0.2884, dev accuracy 0.2888, test accuracy 0.2815
Epoch 10, time 21 secs, train loss 41.0482, train accuracy 0.2897, dev accuracy 0.2921, test accuracy 0.2868
Epoch 11, time 21 secs, train loss 37.7669, train accuracy 0.2910, dev accuracy 0.2919, test accuracy 0.2886
Epoch 12, time 23 secs, train loss 34.7377, train accuracy 0.2957, dev accuracy 0.2838, test accuracy 0.2849
Epoch 13, time 22 secs, train loss 32.3282, train accuracy 0.2966, dev accuracy 0.2935, test accuracy 0.2923
Epoch 14, time 22 secs, train loss 30.1854, train accuracy 0.2999, dev accuracy 0.2933, test accuracy 0.2947
Epoch 15, time 21 secs, train loss 28.4437, train accuracy 0.3058, dev accuracy 0.2962, test accuracy 0.2964
Epoch 16, time 21 secs, train loss 26.5831, train accuracy 0.3103, dev accuracy 0.2907, test accuracy 0.2940
Epoch 17, time 21 secs, train loss 25.3397, train accuracy 0.3116, dev accuracy 0.2981, test accuracy 0.2953
Epoch 18, time 21 secs, train loss 23.9476, train accuracy 0.3144, dev accuracy 0.3020, test accuracy 0.2985
Epoch 19, time 21 secs, train loss 22.8304, train accuracy 0.3185, dev accuracy 0.3020, test accuracy 0.3034
Epoch 20, time 21 secs, train loss 21.6889, train accuracy 0.3213, dev accuracy 0.3059, test accuracy 0.3028
Epoch 21, time 21 secs, train loss 20.7658, train accuracy 0.3240, dev accuracy 0.3038, test accuracy 0.3020
Epoch 22, time 21 secs, train loss 19.8295, train accuracy 0.3293, dev accuracy 0.2958, test accuracy 0.2931
Epoch 23, time 21 secs, train loss 19.1179, train accuracy 0.3311, dev accuracy 0.3040, test accuracy 0.2997
Epoch 24, time 21 secs, train loss 18.3579, train accuracy 0.3415, dev accuracy 0.3110, test accuracy 0.3069
Epoch 25, time 21 secs, train loss 17.7689, train accuracy 0.3426, dev accuracy 0.3015, test accuracy 0.2982
Epoch 26, time 21 secs, train loss 17.1049, train accuracy 0.3484, dev accuracy 0.3113, test accuracy 0.3034
Epoch 27, time 22 secs, train loss 16.5439, train accuracy 0.3548, dev accuracy 0.3097, test accuracy 0.3044
Epoch 28, time 22 secs, train loss 16.0501, train accuracy 0.3621, dev accuracy 0.3073, test accuracy 0.3012
Epoch 29, time 21 secs, train loss 15.6302, train accuracy 0.3641, dev accuracy 0.3015, test accuracy 0.2989
Epoch 30, time 21 secs, train loss 15.1222, train accuracy 0.3726, dev accuracy 0.3148, test accuracy 0.3066
Epoch 31, time 21 secs, train loss 14.7409, train accuracy 0.3786, dev accuracy 0.3087, test accuracy 0.3065
Epoch 32, time 22 secs, train loss 14.3501, train accuracy 0.3901, dev accuracy 0.3142, test accuracy 0.3103
Epoch 33, time 21 secs, train loss 14.0344, train accuracy 0.3928, dev accuracy 0.3083, test accuracy 0.3076
Epoch 34, time 22 secs, train loss 13.6951, train accuracy 0.4006, dev accuracy 0.3050, test accuracy 0.3029
Epoch 35, time 21 secs, train loss 13.3891, train accuracy 0.4095, dev accuracy 0.3144, test accuracy 0.3082
Epoch 36, time 21 secs, train loss 13.1228, train accuracy 0.4150, dev accuracy 0.3011, test accuracy 0.3008
Epoch 37, time 21 secs, train loss 12.8616, train accuracy 0.4241, dev accuracy 0.3154, test accuracy 0.3110
Epoch 38, time 22 secs, train loss 12.6785, train accuracy 0.4318, dev accuracy 0.3054, test accuracy 0.3079
Epoch 39, time 24 secs, train loss 12.4443, train accuracy 0.4381, dev accuracy 0.3141, test accuracy 0.3070
Epoch 40, time 25 secs, train loss 12.2035, train accuracy 0.4470, dev accuracy 0.3131, test accuracy 0.3112
Epoch 41, time 22 secs, train loss 12.0168, train accuracy 0.4563, dev accuracy 0.3105, test accuracy 0.3079
