epoch,train_loss,train_acc,dev_acc,test_acc
0,27638231.8396,0.1791,0.2203,0.2170
1,13657791.0493,0.2239,0.2361,0.2373
2,9759770.2282,0.2409,0.2490,0.2487
3,7898988.5532,0.2481,0.2555,0.2562
4,6800557.4340,0.2539,0.2630,0.2629
5,5982981.5424,0.2615,0.2686,0.2673
6,5374674.8802,0.2648,0.2652,0.2626
7,4922467.8280,0.2654,0.2761,0.2715
8,4447620.6768,0.2722,0.2749,0.2717
9,4056223.7981,0.2736,0.2826,0.2755
10,3744304.3544,0.2764,0.2717,0.2745
11,3445276.1923,0.2775,0.2849,0.2777
12,3193487.8381,0.2824,0.2872,0.2820
13,2973891.2681,0.2859,0.2839,0.2789
14,2763415.2108,0.2876,0.2923,0.2833
15,2591042.2862,0.2901,0.2907,0.2835
16,2430150.5333,0.2938,0.2950,0.2864
17,2280594.9463,0.2932,0.2966,0.2878
18,2150008.3586,0.2981,0.2972,0.2905
19,2032930.1057,0.3002,0.2981,0.2902
20,1923223.7339,0.3025,0.2996,0.2931
21,1823027.7969,0.3050,0.3001,0.2938
22,1734260.9898,0.3073,0.3020,0.2941
23,1651675.2796,0.3108,0.2929,0.2901
24,1576816.7423,0.3136,0.3053,0.2964
25,1509819.4863,0.3175,0.3066,0.2974
26,1441035.7475,0.3204,0.2942,0.2916
27,1386487.6187,0.3230,0.3000,0.2972
28,1327870.8094,0.3283,0.3088,0.2999
29,1279402.6251,0.3322,0.3090,0.3015
30,1236538.4777,0.3360,0.3139,0.3039
31,1191256.3064,0.3424,0.3118,0.3024
32,1154812.3729,0.3434,0.3137,0.3033
33,1114365.1763,0.3517,0.3114,0.3048
34,1083656.4036,0.3534,0.3127,0.3055
35,1053045.5893,0.3602,0.3133,0.3039
36,1021503.6706,0.3660,0.3104,0.3044
37,995968.9537,0.3724,0.3166,0.3086
38,967058.6862,0.3811,0.3033,0.3019
39,940620.6910,0.3848,0.3100,0.3028
40,919637.5912,0.3930,0.3070,0.3035
41,897637.0378,0.4010,0.3166,0.3096
42,878216.6230,0.4080,0.2999,0.2979
43,860986.3417,0.4184,0.3158,0.3076
44,844692.9382,0.4221,0.3054,0.3015
45,826040.6885,0.4333,0.3021,0.2973
46,811719.8658,0.4421,0.2958,0.2937
47,798846.6109,0.4462,0.3136,0.3040
48,784803.7989,0.4552,0.3138,0.3080
49,773531.9541,0.4625,0.3039,0.2981
50,758128.3139,0.4753,0.3161,0.3072
51,750381.2685,0.4816,0.3153,0.3080
52,738971.0461,0.4893,0.3153,0.3081
53,728366.5303,0.4986,0.3090,0.3040
54,722238.3936,0.5087,0.3112,0.3086
55,712435.3232,0.5149,0.3014,0.3031
56,702219.9994,0.5244,0.3049,0.3000
57,695847.4212,0.5336,0.3129,0.3101
58,688981.9498,0.5383,0.3139,0.3108
59,682516.5858,0.5515,0.3114,0.3093
60,673860.4265,0.5622,0.3020,0.2967
61,669060.4274,0.5671,0.3089,0.3057
62,660559.1864,0.5802,0.3122,0.3081
63,658048.7802,0.5809,0.3144,0.3102
64,652344.2833,0.5872,0.3031,0.2963
65,647238.4632,0.6002,0.2973,0.2974
66,643377.6263,0.6083,0.2928,0.2899
67,636947.0707,0.6173,0.3132,0.3076
68,635793.2649,0.6226,0.2987,0.2964
69,629968.0592,0.6309,0.2958,0.2907
70,628339.8750,0.6367,0.3024,0.2952
71,624692.4814,0.6432,0.2908,0.2892
72,621107.3572,0.6470,0.2965,0.2894
73,617539.1823,0.6560,0.2952,0.2918
74,614008.4588,0.6630,0.3097,0.3017
75,613506.2914,0.6616,0.3095,0.3017
76,610427.9653,0.6691,0.3094,0.3009
77,608843.4879,0.6743,0.2996,0.2941
78,604698.4069,0.6818,0.2994,0.2916
79,601866.6230,0.6863,0.2855,0.2833
80,600141.0904,0.6922,0.2999,0.2916
81,598886.1853,0.6954,0.2961,0.2904
82,596445.4185,0.6999,0.3002,0.2927
83,595797.2361,0.7020,0.2956,0.2891
84,595082.8023,0.7045,0.2922,0.2900
85,590618.5691,0.7102,0.3010,0.2973
86,589291.2049,0.7148,0.3060,0.2973
87,591939.1758,0.7158,0.3011,0.2951
88,588957.5805,0.7192,0.2982,0.2899
89,587203.8421,0.7206,0.2973,0.2911
90,585589.5899,0.7256,0.3011,0.2948
91,585180.9204,0.7273,0.2828,0.2770
92,583956.3714,0.7291,0.2942,0.2868
93,584079.6636,0.7308,0.2808,0.2812
94,582465.6248,0.7331,0.2975,0.2897
95,580862.1758,0.7357,0.2877,0.2803
96,580436.4493,0.7356,0.2946,0.2889
97,580256.4385,0.7376,0.2869,0.2776
98,578639.3394,0.7378,0.2922,0.2829
99,578452.1366,0.7408,0.2940,0.2864
