epoch,train_loss,train_acc,dev_acc,test_acc
0,1926904.3765,0.1476,0.1578,0.1581
1,946104.6481,0.1570,0.2241,0.2291
2,656774.8925,0.2278,0.2336,0.2363
3,527631.3370,0.2346,0.2320,0.2291
4,469510.4225,0.2397,0.2482,0.2440
5,403030.3883,0.2500,0.2619,0.2545
6,357075.5577,0.2567,0.2581,0.2606
7,328925.6565,0.2590,0.2662,0.2621
8,290694.4019,0.2611,0.2707,0.2686
9,268600.7660,0.2633,0.2683,0.2667
10,247760.3591,0.2701,0.2750,0.2699
11,225396.4592,0.2727,0.2722,0.2696
12,214567.0769,0.2767,0.2814,0.2731
13,199402.7553,0.2759,0.2730,0.2740
14,185522.9980,0.2804,0.2787,0.2750
15,174284.8550,0.2835,0.2865,0.2820
16,164759.4590,0.2859,0.2907,0.2827
17,163406.0758,0.2877,0.2894,0.2813
18,149105.6156,0.2912,0.2935,0.2817
19,134171.8010,0.2959,0.2945,0.2842
20,137204.5463,0.2964,0.2918,0.2835
21,128474.9456,0.2968,0.2887,0.2849
22,120983.1968,0.2971,0.2922,0.2858
23,118928.0019,0.2991,0.2972,0.2827
24,108652.2377,0.3001,0.2943,0.2847
25,108948.6697,0.3045,0.2830,0.2796
26,103184.0471,0.3102,0.3019,0.2917
27,100040.7532,0.3121,0.2971,0.2863
28,93366.2122,0.3164,0.3036,0.2961
29,93338.0214,0.3209,0.2938,0.2890
30,88661.0822,0.3198,0.3029,0.2974
31,88873.8859,0.3272,0.3088,0.3020
32,85465.0935,0.3275,0.3059,0.2938
33,78879.5666,0.3318,0.3028,0.2927
34,81706.1744,0.3365,0.3131,0.2995
35,77229.9458,0.3378,0.3073,0.2963
36,75987.5029,0.3375,0.3016,0.2949
37,74951.0600,0.3447,0.3114,0.3029
38,71703.3406,0.3513,0.3105,0.2997
39,75200.0880,0.3574,0.3090,0.3044
40,70981.6379,0.3581,0.3078,0.2987
41,68945.3587,0.3605,0.3012,0.2945
42,65853.9959,0.3654,0.3085,0.2988
43,65560.2737,0.3692,0.3109,0.3017
44,64910.0839,0.3759,0.3058,0.2962
45,66694.4608,0.3757,0.2999,0.2943
46,60414.7317,0.3797,0.3021,0.2935
47,62184.8145,0.3890,0.3131,0.2977
48,60917.7121,0.3952,0.3168,0.3049
49,56951.5447,0.3980,0.3117,0.2989
50,58651.7164,0.4003,0.3100,0.2993
51,58326.3798,0.4103,0.3014,0.2945
52,58138.8529,0.4102,0.3075,0.2994
53,57437.8483,0.4189,0.3157,0.3010
54,56538.9990,0.4222,0.3050,0.2928
55,54766.2555,0.4305,0.3128,0.3010
56,52619.3424,0.4319,0.3173,0.3056
57,52908.1746,0.4317,0.3097,0.3064
58,54219.6496,0.4447,0.3143,0.3034
59,51631.2514,0.4496,0.3195,0.3121
60,53239.5024,0.4410,0.3066,0.3012
61,53022.7893,0.4576,0.3036,0.3018
62,53260.6517,0.4632,0.3092,0.2981
63,53000.0068,0.4662,0.2994,0.2988
64,50994.9460,0.4697,0.3107,0.3045
65,50226.5995,0.4701,0.3170,0.3061
66,50929.0375,0.4761,0.3173,0.3087
67,48629.0206,0.4848,0.3137,0.3049
68,49476.3141,0.4905,0.3132,0.3031
69,48873.0448,0.4928,0.3178,0.3074
70,48797.7076,0.4912,0.3063,0.2989
71,48210.0628,0.4951,0.3163,0.3024
72,48674.1585,0.5028,0.3156,0.3043
73,47713.5586,0.5041,0.3053,0.2985
74,46973.1940,0.5096,0.3095,0.3024
75,49523.1061,0.5142,0.3029,0.2948
76,47350.6745,0.5207,0.3121,0.2974
77,47602.9062,0.5265,0.3167,0.3034
78,47699.9442,0.5242,0.3187,0.3093
79,46632.2283,0.5185,0.3016,0.2978
80,47681.9955,0.5301,0.3103,0.3019
81,45861.4993,0.5422,0.3033,0.2979
82,44613.4250,0.5331,0.3137,0.3043
83,45033.6546,0.5370,0.3123,0.3023
84,44514.6430,0.5381,0.3048,0.3019
85,47304.3528,0.5477,0.2994,0.2995
86,44587.8809,0.5516,0.3143,0.3036
87,44495.6200,0.5588,0.3128,0.3064
88,46016.3901,0.5592,0.3121,0.3060
89,44631.0474,0.5614,0.2966,0.2962
90,45607.5544,0.5670,0.3090,0.2994
91,44173.2074,0.5710,0.2923,0.2878
92,44994.8884,0.5715,0.3075,0.2982
93,44558.1287,0.5789,0.3046,0.2983
94,46046.0739,0.5846,0.2970,0.2953
95,43707.9185,0.5838,0.2940,0.2909
96,44297.9440,0.5880,0.2971,0.2925
97,45693.6797,0.5877,0.3053,0.3033
98,42304.7867,0.5880,0.3107,0.3049
99,42697.5673,0.6003,0.3046,0.2997
