epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,16,15,0.0102,0.1820,0.0140,0.2235,0.2190
1,33,15,0.0086,0.2271,0.0128,0.2620,0.2567
2,50,15,0.0079,0.2618,0.0120,0.2857,0.2775
3,66,14,0.0075,0.2829,0.0117,0.2906,0.2858
4,83,14,0.0072,0.2923,0.0112,0.3028,0.2999
5,99,14,0.0070,0.3029,0.0113,0.2982,0.2966
6,115,15,0.0068,0.3069,0.0109,0.3139,0.3091
7,132,14,0.0067,0.3122,0.0109,0.3049,0.3075
8,148,14,0.0066,0.3191,0.0110,0.3104,0.3069
9,164,14,0.0065,0.3229,0.0108,0.3162,0.3108
10,181,14,0.0063,0.3284,0.0108,0.3172,0.3118
11,197,14,0.0063,0.3281,0.0107,0.3208,0.3199
12,213,14,0.0062,0.3383,0.0106,0.3281,0.3226
13,230,14,0.0061,0.3389,0.0107,0.3220,0.3188
14,246,15,0.0060,0.3459,0.0104,0.3310,0.3252
15,263,14,0.0059,0.3491,0.0106,0.3317,0.3297
16,279,14,0.0058,0.3526,0.0106,0.3296,0.3268
17,296,15,0.0058,0.3541,0.0105,0.3310,0.3298
18,312,14,0.0056,0.3646,0.0105,0.3378,0.3314
19,328,14,0.0056,0.3641,0.0108,0.3309,0.3275
20,345,14,0.0055,0.3699,0.0105,0.3335,0.3281
21,361,15,0.0054,0.3713,0.0107,0.3383,0.3309
22,377,14,0.0054,0.3749,0.0106,0.3345,0.3335
23,394,14,0.0053,0.3813,0.0105,0.3376,0.3363
24,410,14,0.0052,0.3846,0.0107,0.3393,0.3366
25,426,14,0.0051,0.3919,0.0107,0.3391,0.3349
26,443,14,0.0051,0.3956,0.0108,0.3349,0.3338
27,459,14,0.0050,0.4007,0.0106,0.3369,0.3314
28,475,14,0.0049,0.4037,0.0106,0.3357,0.3342
29,492,14,0.0049,0.4110,0.0110,0.3383,0.3335
30,508,14,0.0048,0.4188,0.0108,0.3352,0.3294
31,524,14,0.0047,0.4264,0.0108,0.3274,0.3222
32,541,14,0.0046,0.4330,0.0109,0.3364,0.3307
33,557,14,0.0046,0.4332,0.0107,0.3373,0.3350
34,574,14,0.0045,0.4368,0.0108,0.3352,0.3330
35,590,14,0.0045,0.4477,0.0111,0.3347,0.3333
36,606,14,0.0044,0.4532,0.0109,0.3269,0.3220
37,622,14,0.0044,0.4599,0.0111,0.3295,0.3229
38,639,14,0.0043,0.4670,0.0111,0.3261,0.3191
39,655,14,0.0042,0.4743,0.0109,0.3340,0.3287
40,671,14,0.0041,0.4798,0.0111,0.3278,0.3216
41,688,14,0.0041,0.4846,0.0110,0.3273,0.3165
42,704,14,0.0040,0.4924,0.0113,0.3313,0.3244
43,720,14,0.0040,0.5045,0.0113,0.3319,0.3230
44,736,14,0.0039,0.5123,0.0112,0.3301,0.3222
45,752,14,0.0039,0.5117,0.0113,0.3296,0.3180
46,769,14,0.0038,0.5215,0.0111,0.3240,0.3144
47,785,14,0.0038,0.5279,0.0114,0.3224,0.3163
48,801,14,0.0037,0.5358,0.0117,0.3274,0.3209
49,817,14,0.0036,0.5443,0.0113,0.3296,0.3240
50,833,14,0.0036,0.5494,0.0114,0.3230,0.3138
51,850,14,0.0035,0.5573,0.0115,0.3295,0.3199
52,866,14,0.0035,0.5618,0.0118,0.3285,0.3188
53,882,14,0.0035,0.5667,0.0115,0.3268,0.3153
54,898,14,0.0034,0.5768,0.0117,0.3220,0.3132
55,914,14,0.0034,0.5817,0.0117,0.3232,0.3131
56,930,14,0.0033,0.5874,0.0118,0.3235,0.3132
57,946,14,0.0033,0.5939,0.0117,0.3187,0.3112
58,963,14,0.0032,0.6017,0.0120,0.3252,0.3173
59,979,14,0.0032,0.6067,0.0118,0.3186,0.3117
60,995,14,0.0031,0.6110,0.0121,0.3235,0.3147
61,1011,14,0.0031,0.6173,0.0121,0.3244,0.3167
62,1027,14,0.0031,0.6203,0.0122,0.3256,0.3198
63,1043,14,0.0030,0.6279,0.0121,0.3085,0.3052
64,1060,14,0.0030,0.6358,0.0120,0.3217,0.3093
65,1076,14,0.0029,0.6422,0.0123,0.3162,0.3124
66,1092,14,0.0029,0.6453,0.0124,0.3196,0.3093
67,1108,14,0.0029,0.6481,0.0123,0.3172,0.3108
68,1124,14,0.0028,0.6530,0.0126,0.3178,0.3066
69,1140,14,0.0028,0.6596,0.0123,0.3167,0.3075
70,1156,14,0.0028,0.6644,0.0128,0.3158,0.3092
71,1173,14,0.0027,0.6678,0.0127,0.3146,0.3069
72,1189,14,0.0027,0.6729,0.0125,0.3132,0.3093
73,1205,14,0.0027,0.6756,0.0128,0.3149,0.3071
74,1221,14,0.0027,0.6797,0.0127,0.3070,0.3014
75,1237,14,0.0026,0.6836,0.0128,0.3141,0.3093
76,1253,14,0.0026,0.6892,0.0131,0.3025,0.2998
77,1269,14,0.0026,0.6924,0.0130,0.3188,0.3092
78,1286,14,0.0026,0.6941,0.0131,0.3092,0.3052
79,1302,14,0.0025,0.6979,0.0131,0.3141,0.3055
80,1318,14,0.0025,0.7021,0.0132,0.3100,0.3040
81,1334,14,0.0025,0.7042,0.0129,0.3090,0.3014
82,1350,14,0.0025,0.7049,0.0133,0.3090,0.3043
83,1366,14,0.0024,0.7074,0.0135,0.3074,0.3038
84,1382,14,0.0024,0.7087,0.0135,0.3065,0.3025
85,1399,14,0.0024,0.7138,0.0132,0.3097,0.3023
86,1415,14,0.0024,0.7175,0.0136,0.3124,0.3021
87,1431,14,0.0024,0.7163,0.0138,0.3072,0.3046
88,1447,14,0.0023,0.7221,0.0137,0.3123,0.3050
89,1463,14,0.0023,0.7230,0.0138,0.3095,0.3025
90,1479,14,0.0023,0.7247,0.0137,0.3114,0.3069
91,1496,14,0.0023,0.7255,0.0136,0.3085,0.3026
92,1512,14,0.0023,0.7286,0.0138,0.3095,0.3044
93,1528,14,0.0023,0.7300,0.0136,0.3059,0.2997
94,1544,14,0.0022,0.7325,0.0140,0.3109,0.3026
95,1560,14,0.0022,0.7337,0.0142,0.3087,0.3009
96,1576,14,0.0022,0.7335,0.0141,0.3099,0.3035
97,1592,14,0.0022,0.7344,0.0142,0.3094,0.3021
98,1609,14,0.0022,0.7373,0.0138,0.3043,0.2987
99,1625,14,0.0022,0.7379,0.0143,0.3051,0.2994
