epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,14,13,409.4845,0.1827,241.7367,0.2252,0.2204
1,28,13,198.6245,0.2253,181.2225,0.2365,0.2381
2,42,13,148.0785,0.2408,163.7944,0.2503,0.2504
3,56,13,122.6121,0.2486,154.6621,0.2501,0.2562
4,70,13,106.6359,0.2544,147.8838,0.2573,0.2603
5,84,12,93.6947,0.2584,144.4253,0.2656,0.2668
6,98,13,83.8191,0.2617,142.4001,0.2706,0.2668
7,112,12,75.2795,0.2662,140.5795,0.2760,0.2717
8,126,13,68.2005,0.2709,139.1563,0.2772,0.2746
9,140,13,62.0658,0.2733,137.7052,0.2833,0.2772
10,154,13,56.9665,0.2761,137.4486,0.2854,0.2784
11,168,12,52.6557,0.2797,136.2957,0.2738,0.2752
12,182,12,48.6424,0.2808,135.7058,0.2869,0.2825
13,196,12,45.0912,0.2823,136.3629,0.2898,0.2783
14,210,12,42.1808,0.2851,135.7813,0.2872,0.2796
15,224,13,39.6044,0.2875,135.9594,0.2903,0.2820
16,238,13,37.0752,0.2890,137.2491,0.2899,0.2814
17,252,13,35.1057,0.2897,137.0499,0.2918,0.2837
18,266,12,33.1319,0.2938,137.2093,0.2913,0.2856
19,280,13,31.3281,0.2963,137.4624,0.2980,0.2879
20,294,12,29.7364,0.2998,137.6941,0.2941,0.2895
21,308,12,28.3800,0.3018,138.4043,0.2970,0.2910
22,322,12,27.0548,0.3046,139.0056,0.3015,0.2918
23,336,12,25.7898,0.3088,139.5930,0.3043,0.2946
24,350,12,24.7719,0.3118,140.6109,0.3024,0.2959
25,364,12,23.6384,0.3134,142.1549,0.3024,0.2953
26,378,12,22.6616,0.3191,142.6972,0.3090,0.2994
27,392,12,21.7686,0.3218,143.8119,0.3050,0.2969
28,406,12,20.9369,0.3260,144.1348,0.3110,0.2997
29,420,12,20.1443,0.3307,145.3570,0.3102,0.3018
30,434,12,19.4596,0.3322,146.6004,0.3102,0.3021
31,447,12,18.7894,0.3372,146.3996,0.3129,0.3038
32,461,12,18.1575,0.3433,147.4217,0.3082,0.3007
33,475,12,17.5524,0.3468,149.2840,0.3142,0.3060
34,489,12,17.0498,0.3517,148.9462,0.3121,0.3064
35,503,12,16.6287,0.3553,150.6521,0.3139,0.3072
36,517,12,16.0164,0.3650,152.7183,0.3178,0.3081
37,531,12,15.6089,0.3688,152.7307,0.3113,0.3017
38,545,12,15.1955,0.3751,152.6231,0.3186,0.3086
39,559,12,14.8151,0.3823,153.6586,0.3080,0.3029
40,573,12,14.4186,0.3905,154.6587,0.3205,0.3139
41,587,12,14.1033,0.3967,155.7193,0.3139,0.3044
42,601,12,13.7966,0.4038,157.1496,0.3222,0.3119
43,615,12,13.5036,0.4067,157.6669,0.3138,0.3052
44,629,12,13.2516,0.4155,158.3641,0.3186,0.3097
45,643,12,12.9435,0.4278,159.2744,0.3110,0.3056
46,656,12,12.7454,0.4294,160.6622,0.3180,0.3102
47,670,12,12.5018,0.4405,162.4278,0.3087,0.3026
48,684,12,12.3084,0.4481,161.3352,0.3173,0.3137
49,698,12,12.1083,0.4565,163.7329,0.3162,0.3110
50,712,12,11.8942,0.4668,164.1820,0.3222,0.3142
51,726,12,11.7206,0.4729,165.5940,0.3196,0.3116
52,740,12,11.5546,0.4819,167.2203,0.3200,0.3084
53,754,12,11.3715,0.4939,166.7992,0.3121,0.3034
54,768,12,11.2623,0.4992,168.5992,0.3105,0.3031
55,782,12,11.1175,0.5077,169.6871,0.3002,0.2951
56,795,12,10.9885,0.5180,171.0574,0.3129,0.3038
57,809,12,10.8453,0.5258,174.1036,0.3190,0.3093
58,823,12,10.7654,0.5307,173.1981,0.3115,0.3017
59,837,12,10.6433,0.5455,174.5187,0.3129,0.3065
60,851,12,10.5260,0.5505,175.9652,0.3085,0.2999
61,865,12,10.4469,0.5618,176.0451,0.3168,0.3050
62,879,12,10.3220,0.5680,177.8881,0.3045,0.2967
63,893,12,10.2370,0.5736,178.4356,0.3054,0.2985
64,907,12,10.1781,0.5803,179.6912,0.3109,0.3009
65,921,12,10.0557,0.5942,181.0873,0.3205,0.3108
66,935,12,10.0289,0.5948,182.8553,0.3136,0.3041
67,949,13,9.9804,0.6041,183.7722,0.3139,0.3029
68,963,12,9.8628,0.6129,185.1998,0.2999,0.2917
69,977,12,9.7873,0.6245,185.2563,0.2940,0.2911
70,991,12,9.7435,0.6256,186.9436,0.3060,0.2945
71,1005,12,9.7184,0.6284,187.6734,0.3029,0.2911
72,1018,12,9.6407,0.6375,190.0645,0.2967,0.2855
73,1032,12,9.5912,0.6430,190.9865,0.3077,0.2978
74,1046,12,9.5402,0.6516,190.9418,0.2953,0.2900
75,1060,12,9.4541,0.6599,192.3515,0.2924,0.2873
76,1074,12,9.4513,0.6626,194.5875,0.3087,0.2940
77,1088,12,9.3931,0.6680,192.8596,0.3010,0.2914
78,1102,12,9.3716,0.6734,196.3648,0.3103,0.2953
79,1116,12,9.3308,0.6782,197.2779,0.2965,0.2891
80,1130,12,9.2701,0.6863,198.2451,0.3009,0.2910
81,1143,12,9.2622,0.6869,199.4832,0.2907,0.2848
82,1157,12,9.2318,0.6918,201.8883,0.3044,0.2930
83,1171,12,9.1945,0.6968,201.3668,0.2800,0.2755
84,1185,12,9.1701,0.6970,202.4071,0.2928,0.2842
85,1199,12,9.1480,0.7027,203.2896,0.2803,0.2762
86,1213,12,9.1301,0.7061,205.6847,0.2994,0.2892
87,1227,12,9.1045,0.7085,204.6539,0.3025,0.2891
88,1241,12,9.0881,0.7132,207.4361,0.2922,0.2838
89,1254,12,9.0793,0.7136,208.5506,0.2923,0.2847
90,1268,12,9.0374,0.7181,210.0530,0.2862,0.2811
91,1282,12,9.0250,0.7207,210.9817,0.2857,0.2820
92,1296,12,8.9788,0.7253,210.2367,0.3060,0.2914
93,1310,12,8.9952,0.7258,212.7540,0.2884,0.2819
94,1324,12,8.9615,0.7283,212.3335,0.2863,0.2809
95,1338,12,8.9453,0.7303,215.1579,0.2962,0.2897
96,1351,12,8.9472,0.7315,214.6590,0.2927,0.2832
97,1365,12,8.9345,0.7325,214.2508,0.2752,0.2726
98,1379,12,8.8969,0.7348,216.2533,0.2862,0.2799
99,1393,12,8.8910,0.7364,216.8277,0.2994,0.2864
