epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,11,10,3.4289,0.1344,2.2209,0.1526,0.1527
1,22,10,1.9593,0.1714,1.6019,0.1959,0.2009
2,34,10,1.4602,0.1716,1.2202,0.1797,0.1793
3,45,10,1.1971,0.2015,1.1736,0.2296,0.2274
4,56,10,1.0301,0.2237,1.0614,0.2280,0.2291
5,68,10,0.8567,0.2349,1.1225,0.2515,0.2488
6,79,10,0.7734,0.2466,1.0975,0.2586,0.2529
7,90,10,0.7207,0.2485,1.1953,0.2515,0.2448
8,102,10,0.6199,0.2469,1.0029,0.2589,0.2507
9,113,10,0.6398,0.2464,1.0219,0.2609,0.2586
10,125,10,0.5350,0.2549,1.0095,0.2427,0.2386
11,136,10,0.5534,0.2515,0.7861,0.2652,0.2591
12,147,10,0.5305,0.2579,0.9648,0.2721,0.2673
13,159,10,0.4783,0.2637,0.9249,0.2696,0.2648
14,170,10,0.4483,0.2673,1.0434,0.2732,0.2688
15,181,10,0.4110,0.2704,0.9518,0.2676,0.2586
16,193,10,0.4076,0.2613,1.0773,0.2703,0.2644
17,204,10,0.3505,0.2616,1.0744,0.2644,0.2605
18,215,10,0.3511,0.2606,0.9430,0.2682,0.2639
19,227,10,0.3735,0.2550,0.8483,0.2580,0.2583
20,238,10,0.3534,0.2643,0.9047,0.2701,0.2698
21,249,10,0.3190,0.2703,0.8508,0.2757,0.2803
22,261,10,0.2987,0.2718,0.9978,0.2784,0.2744
23,272,10,0.2755,0.2709,0.8846,0.2599,0.2624
24,283,10,0.3061,0.2684,0.9354,0.2607,0.2619
25,295,10,0.2575,0.2630,0.9470,0.2629,0.2637
26,306,10,0.2743,0.2700,0.9396,0.2635,0.2643
27,317,10,0.2463,0.2700,0.9574,0.2684,0.2706
28,329,10,0.2418,0.2793,0.9027,0.2839,0.2783
29,340,10,0.2083,0.2843,0.8778,0.2849,0.2825
30,352,10,0.2173,0.2889,0.8715,0.2865,0.2869
31,363,10,0.2584,0.2844,0.9855,0.2782,0.2773
32,374,10,0.2114,0.2825,0.9281,0.2716,0.2641
33,386,10,0.2140,0.2809,0.9273,0.2787,0.2739
34,397,10,0.2355,0.2862,0.9312,0.2710,0.2766
35,408,10,0.1968,0.2853,1.0375,0.2691,0.2753
36,420,10,0.2267,0.2816,1.0186,0.2691,0.2698
37,431,10,0.2235,0.2832,0.9413,0.2735,0.2704
38,442,10,0.1727,0.2906,1.0049,0.2791,0.2766
39,454,10,0.1801,0.2860,0.9542,0.2796,0.2750
40,465,10,0.1838,0.2942,0.8986,0.2835,0.2823
41,476,10,0.1812,0.2998,1.0081,0.2815,0.2837
42,488,10,0.1764,0.3006,1.0680,0.2854,0.2869
43,499,10,0.1756,0.2996,1.0240,0.2769,0.2771
44,510,10,0.1695,0.3008,1.0163,0.2820,0.2874
45,522,10,0.1713,0.3076,1.0198,0.2927,0.2920
46,533,10,0.1602,0.3105,0.9281,0.2850,0.2897
47,545,10,0.1640,0.3080,1.1257,0.2795,0.2789
48,556,10,0.1764,0.2898,1.0267,0.2712,0.2740
49,567,10,0.1598,0.3086,0.9326,0.2732,0.2838
50,579,10,0.1363,0.3106,1.0275,0.2789,0.2866
