epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,13,12,450.2603,0.1757,272.6480,0.2319,0.2303
1,26,12,223.2801,0.2260,197.3466,0.2282,0.2270
2,39,12,160.5663,0.2312,165.6234,0.2392,0.2374
3,52,12,130.9174,0.2357,155.1634,0.2423,0.2415
4,65,12,113.0833,0.2413,149.0895,0.2525,0.2523
5,78,11,99.8904,0.2499,144.7831,0.2554,0.2607
6,91,12,89.2008,0.2542,141.2920,0.2573,0.2639
7,104,11,80.7689,0.2619,138.2720,0.2688,0.2724
8,117,12,73.6102,0.2669,137.1450,0.2736,0.2757
9,130,11,67.2040,0.2713,135.8727,0.2742,0.2730
10,143,11,62.1830,0.2725,135.4165,0.2793,0.2775
11,156,11,57.2611,0.2763,135.6359,0.2784,0.2775
12,169,11,53.1018,0.2786,134.9072,0.2776,0.2741
13,182,11,49.6672,0.2782,134.7644,0.2829,0.2803
14,194,11,46.4768,0.2823,134.2143,0.2850,0.2855
15,207,11,43.6420,0.2846,134.6932,0.2790,0.2794
16,220,11,40.9087,0.2843,135.3399,0.2872,0.2863
17,233,11,38.6563,0.2876,134.9285,0.2906,0.2870
18,246,11,36.5668,0.2888,135.4541,0.2889,0.2863
19,259,11,34.6051,0.2909,135.4436,0.2924,0.2876
20,272,11,32.8553,0.2930,136.0282,0.2848,0.2829
21,285,11,31.4186,0.2943,136.9687,0.2919,0.2889
22,298,11,29.8890,0.2975,137.2768,0.2919,0.2878
23,310,11,28.5444,0.2991,138.4987,0.2980,0.2909
24,323,11,27.2367,0.3022,139.3725,0.2981,0.2895
25,336,11,26.0793,0.3035,140.0958,0.2981,0.2938
26,349,11,25.0196,0.3039,140.8143,0.2965,0.2918
27,362,11,23.9349,0.3095,141.9500,0.3000,0.2916
28,375,11,23.0671,0.3128,142.4382,0.3000,0.2926
29,388,11,22.2365,0.3149,143.2438,0.3002,0.2931
30,401,11,21.3736,0.3174,144.1534,0.3026,0.2938
31,413,11,20.6378,0.3201,146.0828,0.3022,0.2977
32,426,11,19.9732,0.3254,145.1565,0.3070,0.2995
33,439,11,19.3704,0.3262,146.3060,0.3030,0.2935
34,452,11,18.5874,0.3324,148.2508,0.3048,0.2995
35,465,11,18.0675,0.3403,148.3241,0.3082,0.2977
36,478,11,17.5086,0.3420,148.3545,0.3094,0.3017
37,491,11,17.0129,0.3453,151.6456,0.3063,0.3008
38,504,11,16.5683,0.3501,149.9707,0.3074,0.2978
39,516,11,16.0631,0.3568,151.6450,0.3012,0.2938
40,529,11,15.6466,0.3618,152.7237,0.3144,0.3036
41,543,12,15.3005,0.3666,152.7166,0.3046,0.2998
42,556,12,14.9066,0.3731,155.5599,0.3102,0.3033
43,569,11,14.5800,0.3805,154.6749,0.2966,0.2930
44,581,11,14.2053,0.3861,156.6688,0.3110,0.3025
45,594,11,13.8788,0.3950,157.0126,0.2990,0.2977
46,607,11,13.6422,0.3980,156.0397,0.3142,0.3044
47,620,11,13.3596,0.4074,157.9123,0.3124,0.3048
48,633,11,13.0947,0.4159,161.5392,0.3094,0.3018
49,645,11,12.8540,0.4200,161.3777,0.2941,0.2941
50,658,11,12.6129,0.4299,162.5850,0.2940,0.2940
51,671,11,12.3874,0.4381,162.7854,0.3019,0.2981
52,684,11,12.2224,0.4421,164.6230,0.3035,0.2973
