epoch,train_loss,train_acc,dev_acc,test_acc
0,29615960.6081,0.1678,0.1578,0.1559
1,15973896.4244,0.2085,0.2243,0.2248
2,12118001.4546,0.2248,0.2335,0.2355
3,9724647.7069,0.2340,0.2398,0.2435
4,8286281.1894,0.2390,0.2453,0.2495
5,7315202.7871,0.2466,0.2532,0.2539
6,6584727.8517,0.2530,0.2564,0.2580
7,5991840.6524,0.2590,0.2656,0.2652
8,5516225.5160,0.2611,0.2668,0.2633
9,5091850.4342,0.2644,0.2653,0.2624
10,4728060.1069,0.2680,0.2735,0.2711
11,4396554.3196,0.2708,0.2743,0.2736
12,4100424.6657,0.2762,0.2751,0.2716
13,3846922.3688,0.2752,0.2793,0.2767
14,3611363.4940,0.2786,0.2805,0.2793
15,3394665.6549,0.2797,0.2757,0.2776
16,3202332.6344,0.2844,0.2830,0.2791
17,3033270.6029,0.2856,0.2865,0.2824
18,2879222.9712,0.2861,0.2877,0.2842
19,2725404.7799,0.2884,0.2835,0.2812
20,2593507.2455,0.2899,0.2917,0.2832
21,2469160.1166,0.2912,0.2901,0.2863
22,2352045.7112,0.2932,0.2903,0.2848
23,2252298.4436,0.2948,0.2872,0.2819
24,2138104.1277,0.2946,0.2971,0.2904
25,2043356.2962,0.2985,0.2970,0.2904
26,1965584.2928,0.2971,0.2985,0.2926
27,1878580.4908,0.3002,0.2952,0.2914
28,1806261.1734,0.3018,0.2984,0.2938
29,1726644.0334,0.3086,0.2904,0.2889
30,1672365.1315,0.3080,0.2975,0.2935
31,1605085.2771,0.3106,0.3025,0.2957
32,1551911.5583,0.3117,0.3053,0.2994
33,1491551.9497,0.3159,0.3020,0.2984
34,1442726.8601,0.3181,0.2979,0.2969
35,1398420.3351,0.3191,0.3034,0.3002
36,1352439.3752,0.3226,0.3065,0.3044
37,1303799.8236,0.3267,0.2973,0.2981
38,1268139.0305,0.3264,0.3021,0.2977
39,1228575.6612,0.3335,0.3098,0.3007
40,1197361.3722,0.3348,0.3094,0.3035
41,1164255.4224,0.3413,0.3049,0.3012
42,1129223.9830,0.3438,0.3014,0.3014
43,1099384.9740,0.3480,0.3049,0.3025
44,1068571.6434,0.3537,0.2989,0.2959
45,1045866.4453,0.3550,0.3030,0.2984
46,1017501.1929,0.3622,0.3092,0.3043
47,991899.6698,0.3709,0.3117,0.3045
48,973495.8943,0.3708,0.3117,0.3080
49,947933.5999,0.3794,0.3048,0.3026
50,929865.7252,0.3859,0.3036,0.3019
51,909456.0945,0.3891,0.3146,0.3069
52,891229.6981,0.3974,0.3148,0.3095
53,875089.4210,0.4046,0.3126,0.3061
54,856855.9820,0.4112,0.3075,0.3045
55,842247.3399,0.4181,0.3159,0.3085
56,827642.5585,0.4263,0.3007,0.2995
57,813463.5427,0.4314,0.3014,0.2993
58,799977.3769,0.4385,0.3147,0.3077
59,787734.6665,0.4461,0.3043,0.2983
60,776965.4600,0.4587,0.3154,0.3113
61,768359.4855,0.4576,0.3012,0.2998
62,755295.2745,0.4709,0.3133,0.3082
63,747102.3065,0.4757,0.3114,0.3081
64,737891.4034,0.4861,0.3142,0.3082
65,728160.7993,0.4950,0.3070,0.3014
66,716942.1905,0.5049,0.3102,0.3060
67,710143.6336,0.5134,0.3124,0.3097
68,703252.0875,0.5182,0.3129,0.3062
69,696874.8342,0.5252,0.3078,0.3023
70,690051.5458,0.5335,0.3001,0.2963
71,685409.9415,0.5413,0.3113,0.3052
72,678831.7410,0.5486,0.3078,0.3049
73,673715.4603,0.5542,0.3094,0.3050
74,667804.2844,0.5630,0.2922,0.2938
75,662072.4242,0.5697,0.3007,0.2979
76,658524.5325,0.5774,0.3000,0.2967
77,652558.3242,0.5866,0.2882,0.2900
78,649749.9044,0.5876,0.3046,0.3014
79,644163.0976,0.5999,0.2956,0.2881
80,642700.0912,0.5984,0.2865,0.2905
81,638870.5952,0.6066,0.2951,0.2922
82,633694.4453,0.6173,0.2972,0.2947
83,631739.2621,0.6192,0.2877,0.2847
84,626780.2478,0.6308,0.2897,0.2849
85,625755.4567,0.6346,0.3004,0.2968
86,622397.0027,0.6389,0.2997,0.2967
87,617986.0127,0.6470,0.2914,0.2910
88,616375.8565,0.6490,0.2834,0.2799
89,613864.4002,0.6545,0.2966,0.2943
90,610976.9644,0.6610,0.2829,0.2828
91,609569.7025,0.6667,0.2953,0.2928
92,607673.8465,0.6694,0.2826,0.2797
93,605310.1608,0.6734,0.2942,0.2902
94,603692.6285,0.6779,0.2794,0.2799
95,601831.6125,0.6816,0.2869,0.2827
96,600382.6481,0.6875,0.2960,0.2940
97,597869.6574,0.6887,0.2886,0.2818
98,595601.0925,0.6947,0.2901,0.2834
99,595820.1880,0.6977,0.2877,0.2793
