epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,21,19,0.0102,0.1832,0.0140,0.2302,0.2260
1,42,19,0.0086,0.2332,0.0128,0.2613,0.2559
2,63,19,0.0079,0.2645,0.0122,0.2781,0.2731
3,84,19,0.0075,0.2807,0.0117,0.2864,0.2858
4,105,19,0.0073,0.2878,0.0114,0.3004,0.2976
5,127,20,0.0070,0.2999,0.0112,0.3053,0.3035
6,151,22,0.0069,0.3054,0.0111,0.3088,0.3041
7,173,19,0.0067,0.3079,0.0109,0.3114,0.3088
8,194,19,0.0066,0.3147,0.0107,0.3153,0.3095
9,215,19,0.0065,0.3196,0.0108,0.3137,0.3137
10,237,19,0.0064,0.3240,0.0107,0.3192,0.3115
11,258,19,0.0063,0.3263,0.0106,0.3201,0.3152
12,279,19,0.0062,0.3296,0.0105,0.3246,0.3219
13,300,18,0.0061,0.3369,0.0109,0.3227,0.3149
14,321,18,0.0061,0.3375,0.0107,0.3225,0.3139
15,341,18,0.0060,0.3396,0.0107,0.3290,0.3270
16,362,18,0.0059,0.3454,0.0104,0.3295,0.3257
17,383,18,0.0058,0.3502,0.0107,0.3276,0.3214
18,404,18,0.0057,0.3542,0.0105,0.3313,0.3249
19,424,18,0.0057,0.3592,0.0107,0.3320,0.3229
20,445,18,0.0056,0.3603,0.0106,0.3343,0.3255
21,466,18,0.0055,0.3634,0.0106,0.3348,0.3275
22,487,18,0.0055,0.3698,0.0107,0.3345,0.3249
23,507,18,0.0054,0.3725,0.0105,0.3361,0.3275
24,528,18,0.0053,0.3804,0.0108,0.3358,0.3291
25,549,18,0.0053,0.3818,0.0106,0.3378,0.3285
26,570,18,0.0052,0.3883,0.0106,0.3353,0.3308
27,591,18,0.0052,0.3925,0.0108,0.3293,0.3232
28,611,18,0.0051,0.3913,0.0106,0.3356,0.3314
29,632,18,0.0051,0.3991,0.0105,0.3359,0.3276
30,653,18,0.0050,0.4058,0.0105,0.3359,0.3291
31,673,18,0.0049,0.4046,0.0106,0.3361,0.3296
32,694,18,0.0049,0.4096,0.0107,0.3361,0.3276
33,715,18,0.0048,0.4180,0.0106,0.3354,0.3297
34,736,18,0.0048,0.4202,0.0107,0.3352,0.3292
35,757,18,0.0047,0.4251,0.0107,0.3352,0.3291
36,777,18,0.0047,0.4280,0.0109,0.3354,0.3257
37,798,18,0.0046,0.4336,0.0107,0.3323,0.3235
38,819,18,0.0046,0.4389,0.0109,0.3366,0.3254
39,840,18,0.0045,0.4406,0.0109,0.3323,0.3256
40,860,18,0.0045,0.4462,0.0110,0.3335,0.3244
41,881,18,0.0044,0.4538,0.0108,0.3349,0.3237
42,902,18,0.0044,0.4572,0.0109,0.3317,0.3236
43,922,18,0.0043,0.4616,0.0111,0.3290,0.3188
44,943,18,0.0043,0.4697,0.0110,0.3351,0.3245
45,963,18,0.0043,0.4693,0.0110,0.3344,0.3229
46,984,18,0.0042,0.4735,0.0112,0.3333,0.3240
47,1005,18,0.0042,0.4801,0.0112,0.3320,0.3239
48,1026,18,0.0041,0.4847,0.0112,0.3271,0.3188
49,1047,18,0.0041,0.4902,0.0112,0.3310,0.3209
50,1067,18,0.0040,0.4926,0.0111,0.3294,0.3205
51,1088,18,0.0040,0.4979,0.0110,0.3305,0.3211
52,1109,18,0.0040,0.5037,0.0111,0.3301,0.3204
53,1130,18,0.0039,0.5082,0.0112,0.3303,0.3208
54,1150,18,0.0039,0.5134,0.0114,0.3343,0.3250
55,1171,18,0.0039,0.5146,0.0111,0.3269,0.3164
56,1192,18,0.0038,0.5208,0.0113,0.3312,0.3208
57,1212,18,0.0038,0.5277,0.0112,0.3325,0.3203
58,1233,18,0.0037,0.5325,0.0114,0.3318,0.3193
59,1253,18,0.0037,0.5322,0.0112,0.3284,0.3201
60,1274,18,0.0037,0.5382,0.0112,0.3294,0.3191
61,1295,18,0.0037,0.5447,0.0115,0.3325,0.3196
62,1316,18,0.0036,0.5425,0.0114,0.3308,0.3182
63,1336,18,0.0036,0.5532,0.0113,0.3291,0.3186
64,1357,18,0.0036,0.5554,0.0113,0.3239,0.3137
65,1378,18,0.0035,0.5607,0.0115,0.3286,0.3177
66,1398,18,0.0035,0.5636,0.0112,0.3234,0.3132
67,1419,18,0.0035,0.5692,0.0116,0.3242,0.3137
68,1440,18,0.0035,0.5733,0.0116,0.3203,0.3117
69,1460,18,0.0034,0.5759,0.0116,0.3215,0.3142
70,1481,18,0.0034,0.5807,0.0117,0.3279,0.3124
71,1502,18,0.0034,0.5847,0.0117,0.3285,0.3160
72,1523,18,0.0033,0.5879,0.0117,0.3307,0.3169
73,1543,18,0.0033,0.5875,0.0117,0.3236,0.3113
74,1564,18,0.0033,0.5949,0.0118,0.3216,0.3113
75,1585,18,0.0033,0.5994,0.0119,0.3235,0.3126
76,1606,18,0.0033,0.6028,0.0118,0.3261,0.3191
77,1626,18,0.0032,0.6030,0.0119,0.3226,0.3134
78,1647,18,0.0032,0.6062,0.0117,0.3195,0.3132
79,1668,18,0.0032,0.6131,0.0120,0.3200,0.3132
80,1689,18,0.0032,0.6156,0.0120,0.3256,0.3129
81,1709,18,0.0031,0.6159,0.0118,0.3242,0.3154
82,1730,18,0.0031,0.6195,0.0119,0.3219,0.3136
83,1751,18,0.0031,0.6264,0.0118,0.3249,0.3139
84,1772,18,0.0031,0.6202,0.0119,0.3216,0.3138
85,1792,18,0.0031,0.6286,0.0121,0.3234,0.3116
86,1813,18,0.0030,0.6312,0.0120,0.3195,0.3106
87,1833,18,0.0030,0.6335,0.0122,0.3171,0.3111
88,1854,18,0.0030,0.6358,0.0118,0.3162,0.3119
89,1875,18,0.0030,0.6423,0.0122,0.3197,0.3127
90,1896,18,0.0030,0.6415,0.0121,0.3177,0.3126
91,1917,18,0.0029,0.6464,0.0121,0.3226,0.3121
92,1937,18,0.0029,0.6476,0.0120,0.3193,0.3141
93,1958,18,0.0029,0.6507,0.0122,0.3210,0.3157
94,1979,18,0.0029,0.6504,0.0120,0.3206,0.3146
95,1999,18,0.0029,0.6543,0.0122,0.3195,0.3148
96,2020,18,0.0029,0.6532,0.0123,0.3157,0.3095
97,2041,18,0.0029,0.6593,0.0121,0.3197,0.3093
98,2061,18,0.0028,0.6599,0.0123,0.3187,0.3102
99,2082,18,0.0028,0.6643,0.0123,0.3206,0.3129
