epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,44,39,0.0193,0.2072,0.0751,0.2601,0.2538
1,88,39,0.0158,0.2674,0.0692,0.2867,0.2813
2,132,39,0.0146,0.2904,0.0675,0.3077,0.3017
3,175,39,0.0138,0.3065,0.0659,0.3110,0.3075
4,219,39,0.0132,0.3201,0.0647,0.3271,0.3258
5,263,39,0.0127,0.3325,0.0644,0.3265,0.3252
6,307,39,0.0122,0.3424,0.0637,0.3363,0.3338
7,350,39,0.0118,0.3509,0.0635,0.3406,0.3401
8,394,39,0.0114,0.3581,0.0637,0.3387,0.3385
9,438,39,0.0110,0.3646,0.0636,0.3386,0.3409
10,482,39,0.0107,0.3690,0.0630,0.3471,0.3426
11,526,39,0.0104,0.3758,0.0631,0.3440,0.3407
12,570,39,0.0101,0.3827,0.0633,0.3402,0.3431
13,614,39,0.0098,0.3883,0.0633,0.3460,0.3396
14,658,39,0.0095,0.3940,0.0631,0.3500,0.3443
15,702,39,0.0093,0.3999,0.0638,0.3420,0.3386
16,745,39,0.0090,0.4063,0.0636,0.3477,0.3442
17,789,39,0.0088,0.4126,0.0638,0.3482,0.3457
18,833,39,0.0085,0.4193,0.0642,0.3431,0.3365
19,877,39,0.0083,0.4255,0.0639,0.3510,0.3447
20,921,39,0.0081,0.4318,0.0646,0.3480,0.3409
21,965,39,0.0079,0.4384,0.0649,0.3417,0.3409
22,1009,39,0.0077,0.4451,0.0651,0.3482,0.3419
23,1052,39,0.0075,0.4504,0.0653,0.3498,0.3410
24,1096,39,0.0073,0.4604,0.0653,0.3430,0.3374
25,1140,39,0.0071,0.4718,0.0659,0.3416,0.3349
26,1184,39,0.0069,0.4789,0.0663,0.3444,0.3379
27,1228,39,0.0067,0.4875,0.0664,0.3405,0.3359
28,1272,39,0.0065,0.4934,0.0667,0.3446,0.3369
29,1315,39,0.0063,0.5049,0.0674,0.3420,0.3352
30,1359,39,0.0062,0.5148,0.0675,0.3440,0.3411
31,1403,39,0.0060,0.5209,0.0681,0.3387,0.3348
32,1447,39,0.0060,0.5219,0.0686,0.3398,0.3337
33,1491,39,0.0057,0.5347,0.0690,0.3372,0.3311
34,1534,39,0.0055,0.5475,0.0692,0.3406,0.3337
35,1578,39,0.0054,0.5562,0.0697,0.3330,0.3283
36,1622,39,0.0052,0.5660,0.0702,0.3382,0.3302
37,1665,39,0.0050,0.5792,0.0707,0.3361,0.3254
38,1709,39,0.0049,0.5869,0.0718,0.3271,0.3179
39,1753,39,0.0048,0.5911,0.0717,0.3356,0.3293
40,1796,39,0.0047,0.5986,0.0720,0.3347,0.3266
41,1840,39,0.0045,0.6154,0.0726,0.3328,0.3247
42,1884,39,0.0043,0.6285,0.0732,0.3334,0.3210
43,1927,39,0.0042,0.6368,0.0743,0.3236,0.3149
44,1971,39,0.0042,0.6381,0.0742,0.3291,0.3169
45,2015,39,0.0040,0.6529,0.0751,0.3296,0.3213
46,2058,39,0.0038,0.6642,0.0756,0.3250,0.3210
47,2102,39,0.0037,0.6752,0.0760,0.3288,0.3224
48,2146,39,0.0036,0.6830,0.0769,0.3235,0.3169
49,2189,39,0.0035,0.6891,0.0771,0.3234,0.3155
50,2233,39,0.0035,0.6913,0.0775,0.3201,0.3139
51,2276,39,0.0033,0.7052,0.0780,0.3230,0.3136
52,2320,39,0.0031,0.7209,0.0790,0.3245,0.3153
53,2364,39,0.0030,0.7319,0.0796,0.3236,0.3134
54,2408,39,0.0029,0.7421,0.0799,0.3216,0.3128
55,2451,39,0.0030,0.7350,0.0808,0.3172,0.3080
56,2495,39,0.0028,0.7516,0.0816,0.3161,0.3103
57,2539,39,0.0026,0.7647,0.0823,0.3183,0.3084
58,2582,39,0.0026,0.7736,0.0830,0.3175,0.3039
59,2626,39,0.0025,0.7808,0.0838,0.3175,0.3106
60,2670,39,0.0024,0.7820,0.0842,0.3156,0.3054
61,2714,39,0.0024,0.7847,0.0854,0.3094,0.3013
62,2757,39,0.0024,0.7898,0.0858,0.3163,0.3065
63,2801,39,0.0024,0.7855,0.0859,0.3121,0.3067
64,2845,39,0.0023,0.8001,0.0870,0.3127,0.3087
65,2888,39,0.0020,0.8239,0.0873,0.3134,0.3090
66,2932,39,0.0019,0.8313,0.0881,0.3142,0.3076
67,2976,39,0.0019,0.8352,0.0891,0.3147,0.3055
68,3019,39,0.0018,0.8446,0.0896,0.3149,0.3048
69,3063,39,0.0017,0.8489,0.0903,0.3126,0.3020
70,3107,39,0.0016,0.8610,0.0910,0.3127,0.3000
71,3151,39,0.0017,0.8576,0.0920,0.3100,0.3034
72,3194,39,0.0015,0.8687,0.0924,0.3100,0.2971
73,3238,39,0.0016,0.8689,0.0932,0.3097,0.3012
74,3282,39,0.0015,0.8772,0.0935,0.3083,0.2985
75,3325,39,0.0015,0.8804,0.0948,0.3108,0.2968
76,3369,39,0.0014,0.8800,0.0947,0.3038,0.2938
77,3413,39,0.0015,0.8739,0.0954,0.3082,0.2979
78,3456,39,0.0013,0.8902,0.0961,0.3030,0.2949
79,3500,39,0.0013,0.8928,0.0969,0.3097,0.2982
80,3544,39,0.0013,0.8943,0.0972,0.3112,0.2972
81,3587,39,0.0012,0.8959,0.0981,0.3080,0.2923
82,3631,39,0.0011,0.9164,0.0988,0.3063,0.2945
83,3675,39,0.0010,0.9184,0.0999,0.3063,0.2920
84,3719,39,0.0010,0.9268,0.1006,0.3049,0.2959
85,3762,39,0.0009,0.9338,0.1019,0.3097,0.2933
86,3806,39,0.0009,0.9314,0.1018,0.3068,0.2948
87,3850,39,0.0009,0.9372,0.1019,0.3038,0.2938
88,3894,39,0.0010,0.9260,0.1026,0.3014,0.2942
89,3938,39,0.0009,0.9358,0.1036,0.3025,0.2935
90,3981,39,0.0011,0.9112,0.1039,0.3020,0.2904
91,4025,39,0.0009,0.9274,0.1043,0.3074,0.2940
92,4069,39,0.0007,0.9488,0.1056,0.3014,0.2927
93,4112,39,0.0007,0.9499,0.1065,0.3055,0.2943
94,4156,39,0.0008,0.9452,0.1063,0.2972,0.2890
95,4200,39,0.0007,0.9558,0.1063,0.3050,0.2907
96,4244,39,0.0006,0.9659,0.1086,0.3036,0.2971
97,4288,39,0.0005,0.9699,0.1088,0.3048,0.2941
98,4331,39,0.0005,0.9713,0.1092,0.3020,0.2909
99,4375,39,0.0005,0.9705,0.1103,0.2951,0.2869
