epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,42,38,0.0193,0.2133,0.0764,0.2477,0.2432
1,84,38,0.0161,0.2615,0.0701,0.2956,0.2876
2,127,38,0.0148,0.2987,0.0668,0.3216,0.3198
3,169,38,0.0139,0.3258,0.0653,0.3366,0.3337
4,212,38,0.0133,0.3383,0.0644,0.3401,0.3356
5,254,38,0.0128,0.3456,0.0635,0.3403,0.3406
6,296,38,0.0124,0.3506,0.0632,0.3421,0.3407
7,339,38,0.0119,0.3567,0.0631,0.3435,0.3373
8,381,38,0.0116,0.3603,0.0629,0.3499,0.3453
9,424,38,0.0112,0.3664,0.0630,0.3486,0.3427
10,466,38,0.0109,0.3710,0.0628,0.3498,0.3446
11,508,38,0.0106,0.3752,0.0629,0.3489,0.3456
12,551,38,0.0103,0.3808,0.0628,0.3498,0.3448
13,593,38,0.0100,0.3855,0.0630,0.3531,0.3468
14,636,38,0.0097,0.3925,0.0629,0.3531,0.3483
15,678,38,0.0095,0.3960,0.0631,0.3490,0.3433
16,721,38,0.0093,0.4018,0.0630,0.3487,0.3477
17,763,38,0.0090,0.4073,0.0632,0.3493,0.3495
18,805,38,0.0088,0.4129,0.0632,0.3508,0.3482
19,848,38,0.0086,0.4178,0.0637,0.3457,0.3442
20,890,38,0.0084,0.4233,0.0639,0.3475,0.3455
21,933,38,0.0082,0.4303,0.0638,0.3508,0.3446
22,975,38,0.0080,0.4367,0.0641,0.3494,0.3428
23,1018,38,0.0078,0.4411,0.0642,0.3470,0.3426
24,1060,38,0.0077,0.4486,0.0645,0.3509,0.3459
25,1102,38,0.0074,0.4560,0.0647,0.3422,0.3421
26,1145,38,0.0073,0.4628,0.0650,0.3474,0.3432
27,1187,38,0.0071,0.4697,0.0652,0.3421,0.3412
28,1230,38,0.0070,0.4782,0.0654,0.3435,0.3409
29,1272,38,0.0068,0.4855,0.0658,0.3438,0.3410
30,1315,38,0.0066,0.4906,0.0661,0.3440,0.3414
31,1357,38,0.0065,0.4990,0.0663,0.3441,0.3409
32,1400,38,0.0063,0.5071,0.0666,0.3426,0.3412
33,1442,38,0.0061,0.5126,0.0669,0.3450,0.3407
34,1484,38,0.0060,0.5203,0.0673,0.3388,0.3328
35,1527,38,0.0059,0.5295,0.0676,0.3412,0.3391
36,1569,38,0.0057,0.5357,0.0676,0.3392,0.3345
37,1612,38,0.0056,0.5463,0.0682,0.3410,0.3364
38,1654,38,0.0055,0.5520,0.0686,0.3344,0.3316
39,1696,38,0.0053,0.5605,0.0690,0.3366,0.3358
40,1739,38,0.0052,0.5690,0.0691,0.3332,0.3302
41,1781,38,0.0051,0.5759,0.0697,0.3357,0.3355
42,1824,38,0.0050,0.5855,0.0699,0.3374,0.3350
43,1866,38,0.0048,0.5942,0.0703,0.3334,0.3324
44,1909,38,0.0047,0.6008,0.0708,0.3361,0.3338
45,1951,38,0.0046,0.6098,0.0711,0.3315,0.3334
46,1994,38,0.0045,0.6194,0.0713,0.3327,0.3328
47,2036,38,0.0044,0.6269,0.0720,0.3318,0.3348
48,2078,38,0.0043,0.6328,0.0721,0.3327,0.3282
49,2121,38,0.0042,0.6418,0.0727,0.3308,0.3324
50,2163,38,0.0041,0.6483,0.0730,0.3263,0.3249
51,2206,38,0.0040,0.6557,0.0734,0.3224,0.3258
52,2248,38,0.0039,0.6653,0.0739,0.3237,0.3258
53,2290,38,0.0038,0.6722,0.0743,0.3255,0.3249
54,2333,38,0.0037,0.6803,0.0746,0.3225,0.3221
55,2375,38,0.0036,0.6869,0.0750,0.3219,0.3236
56,2418,38,0.0035,0.6945,0.0753,0.3271,0.3234
57,2460,38,0.0035,0.7014,0.0758,0.3202,0.3204
58,2502,38,0.0034,0.7069,0.0761,0.3216,0.3188
59,2545,38,0.0033,0.7154,0.0768,0.3198,0.3183
60,2587,38,0.0032,0.7205,0.0774,0.3264,0.3230
61,2630,38,0.0031,0.7289,0.0775,0.3178,0.3183
62,2672,38,0.0030,0.7369,0.0780,0.3206,0.3151
63,2714,38,0.0030,0.7417,0.0786,0.3203,0.3203
64,2757,38,0.0029,0.7469,0.0788,0.3176,0.3143
65,2799,38,0.0028,0.7536,0.0795,0.3176,0.3098
66,2842,38,0.0028,0.7577,0.0800,0.3133,0.3118
67,2884,38,0.0027,0.7649,0.0804,0.3180,0.3136
68,2926,38,0.0027,0.7699,0.0807,0.3166,0.3121
69,2969,38,0.0026,0.7778,0.0812,0.3158,0.3116
70,3011,38,0.0025,0.7839,0.0815,0.3143,0.3122
71,3054,38,0.0025,0.7865,0.0823,0.3141,0.3136
72,3097,38,0.0024,0.7946,0.0824,0.3084,0.3043
73,3139,38,0.0023,0.7984,0.0830,0.3112,0.3107
74,3181,38,0.0023,0.8044,0.0831,0.3133,0.3107
75,3224,38,0.0022,0.8081,0.0836,0.3118,0.3090
76,3266,38,0.0022,0.8147,0.0842,0.3109,0.3126
77,3309,38,0.0021,0.8222,0.0845,0.3114,0.3096
78,3351,38,0.0021,0.8270,0.0849,0.3107,0.3100
79,3393,38,0.0020,0.8321,0.0856,0.3123,0.3096
80,3436,38,0.0020,0.8351,0.0857,0.3074,0.3092
81,3478,38,0.0019,0.8396,0.0863,0.3088,0.3105
82,3521,38,0.0019,0.8435,0.0866,0.3077,0.3107
83,3563,38,0.0019,0.8462,0.0869,0.3100,0.3059
84,3606,38,0.0018,0.8526,0.0873,0.3070,0.3062
85,3648,38,0.0017,0.8591,0.0880,0.3070,0.3072
86,3691,38,0.0017,0.8625,0.0885,0.3058,0.3019
87,3733,38,0.0017,0.8644,0.0889,0.3054,0.3045
88,3775,38,0.0016,0.8694,0.0895,0.3094,0.3055
89,3818,38,0.0016,0.8744,0.0896,0.3064,0.3067
90,3860,38,0.0016,0.8775,0.0902,0.3058,0.3030
91,3902,38,0.0015,0.8791,0.0906,0.3107,0.3074
92,3945,38,0.0015,0.8831,0.0908,0.3059,0.3028
93,3987,38,0.0014,0.8893,0.0912,0.3029,0.3026
94,4029,38,0.0014,0.8908,0.0916,0.3068,0.3030
95,4072,38,0.0014,0.8966,0.0922,0.3043,0.3040
96,4114,38,0.0014,0.8981,0.0925,0.3043,0.3023
97,4156,38,0.0013,0.9008,0.0926,0.3031,0.3029
98,4199,38,0.0013,0.9058,0.0932,0.3025,0.3040
99,4241,38,0.0013,0.9038,0.0934,0.3019,0.2998
