epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,24,22,0.0194,0.2012,0.0768,0.2503,0.2449
1,49,22,0.0160,0.2654,0.0701,0.2810,0.2739
2,74,22,0.0147,0.2993,0.0673,0.3163,0.3115
3,98,22,0.0139,0.3238,0.0653,0.3230,0.3249
4,123,22,0.0133,0.3336,0.0648,0.3349,0.3329
5,148,22,0.0127,0.3409,0.0640,0.3307,0.3355
6,173,22,0.0124,0.3453,0.0638,0.3378,0.3415
7,197,22,0.0119,0.3511,0.0637,0.3389,0.3428
8,222,22,0.0115,0.3591,0.0637,0.3420,0.3417
9,247,22,0.0112,0.3624,0.0633,0.3456,0.3455
10,271,22,0.0109,0.3675,0.0633,0.3485,0.3456
11,296,22,0.0106,0.3734,0.0633,0.3441,0.3450
12,321,22,0.0103,0.3773,0.0635,0.3454,0.3448
13,345,22,0.0100,0.3831,0.0631,0.3480,0.3438
14,370,22,0.0098,0.3888,0.0634,0.3465,0.3414
15,395,22,0.0095,0.3932,0.0633,0.3485,0.3446
16,419,22,0.0094,0.3997,0.0633,0.3467,0.3453
17,444,22,0.0091,0.4041,0.0634,0.3504,0.3450
18,468,22,0.0089,0.4089,0.0635,0.3476,0.3438
19,493,22,0.0087,0.4153,0.0635,0.3505,0.3420
20,518,22,0.0086,0.4201,0.0638,0.3479,0.3421
21,542,22,0.0084,0.4244,0.0639,0.3471,0.3396
22,567,22,0.0082,0.4304,0.0638,0.3495,0.3456
23,592,22,0.0080,0.4364,0.0642,0.3514,0.3417
24,616,22,0.0078,0.4425,0.0644,0.3493,0.3438
25,641,22,0.0077,0.4476,0.0649,0.3423,0.3354
26,666,22,0.0075,0.4534,0.0648,0.3486,0.3381
27,690,22,0.0073,0.4585,0.0651,0.3451,0.3373
28,715,22,0.0072,0.4657,0.0654,0.3437,0.3340
29,740,22,0.0071,0.4719,0.0656,0.3451,0.3373
30,764,22,0.0069,0.4773,0.0656,0.3428,0.3363
31,789,22,0.0067,0.4828,0.0658,0.3459,0.3354
32,814,22,0.0066,0.4910,0.0662,0.3482,0.3376
33,838,22,0.0065,0.4986,0.0663,0.3452,0.3334
34,863,22,0.0063,0.5039,0.0667,0.3437,0.3333
35,888,22,0.0062,0.5109,0.0668,0.3425,0.3327
36,912,22,0.0061,0.5166,0.0671,0.3398,0.3272
37,937,22,0.0060,0.5244,0.0673,0.3425,0.3291
38,962,22,0.0059,0.5304,0.0676,0.3382,0.3265
39,986,22,0.0058,0.5363,0.0679,0.3398,0.3262
40,1011,22,0.0057,0.5445,0.0682,0.3384,0.3244
41,1036,22,0.0055,0.5497,0.0685,0.3394,0.3316
42,1060,22,0.0054,0.5563,0.0687,0.3339,0.3240
43,1085,22,0.0053,0.5634,0.0690,0.3376,0.3257
44,1110,22,0.0052,0.5729,0.0694,0.3348,0.3246
45,1134,22,0.0051,0.5765,0.0693,0.3349,0.3261
46,1159,22,0.0050,0.5855,0.0697,0.3361,0.3256
47,1184,22,0.0049,0.5871,0.0700,0.3340,0.3236
48,1208,22,0.0049,0.5960,0.0704,0.3361,0.3256
49,1233,22,0.0048,0.6022,0.0707,0.3357,0.3235
50,1258,22,0.0046,0.6090,0.0708,0.3307,0.3193
51,1282,22,0.0046,0.6160,0.0713,0.3315,0.3213
52,1307,22,0.0045,0.6218,0.0715,0.3304,0.3190
53,1332,22,0.0044,0.6277,0.0716,0.3300,0.3165
54,1356,22,0.0043,0.6341,0.0721,0.3244,0.3185
55,1381,22,0.0042,0.6402,0.0725,0.3246,0.3184
56,1406,22,0.0042,0.6452,0.0727,0.3270,0.3177
57,1430,22,0.0041,0.6525,0.0730,0.3247,0.3170
58,1455,22,0.0040,0.6578,0.0735,0.3258,0.3151
59,1480,22,0.0039,0.6637,0.0738,0.3244,0.3136
60,1504,22,0.0039,0.6698,0.0739,0.3242,0.3162
61,1529,22,0.0038,0.6741,0.0743,0.3246,0.3175
62,1554,22,0.0037,0.6816,0.0746,0.3224,0.3128
63,1578,22,0.0036,0.6858,0.0751,0.3210,0.3091
64,1603,22,0.0036,0.6924,0.0753,0.3245,0.3154
65,1628,22,0.0035,0.6972,0.0755,0.3234,0.3146
66,1652,22,0.0035,0.7034,0.0759,0.3259,0.3174
67,1677,22,0.0034,0.7083,0.0762,0.3212,0.3146
68,1702,22,0.0034,0.7091,0.0766,0.3186,0.3082
69,1726,22,0.0033,0.7164,0.0771,0.3200,0.3139
70,1751,22,0.0032,0.7227,0.0772,0.3195,0.3096
71,1776,22,0.0031,0.7296,0.0775,0.3203,0.3098
72,1800,22,0.0031,0.7331,0.0777,0.3219,0.3115
73,1825,22,0.0031,0.7382,0.0782,0.3165,0.3088
74,1850,22,0.0030,0.7429,0.0784,0.3203,0.3134
75,1874,22,0.0029,0.7485,0.0788,0.3193,0.3117
76,1899,22,0.0029,0.7506,0.0792,0.3183,0.3080
77,1924,22,0.0029,0.7530,0.0793,0.3193,0.3093
