epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,41,37,0.0194,0.1992,0.0778,0.2331,0.2292
1,81,37,0.0163,0.2568,0.0707,0.2790,0.2721
2,122,37,0.0149,0.2817,0.0676,0.2911,0.2881
3,162,37,0.0141,0.2927,0.0663,0.3022,0.2976
4,203,36,0.0135,0.3009,0.0658,0.3040,0.3049
5,243,36,0.0131,0.3063,0.0654,0.3044,0.3035
6,284,36,0.0127,0.3133,0.0644,0.3173,0.3158
7,324,36,0.0123,0.3212,0.0647,0.3122,0.3075
8,364,36,0.0120,0.3256,0.0640,0.3249,0.3221
9,405,36,0.0116,0.3368,0.0638,0.3283,0.3235
10,445,36,0.0112,0.3417,0.0636,0.3273,0.3215
11,486,36,0.0110,0.3498,0.0632,0.3382,0.3364
12,526,36,0.0107,0.3652,0.0631,0.3471,0.3425
13,566,36,0.0103,0.3750,0.0631,0.3504,0.3467
14,607,36,0.0101,0.3816,0.0629,0.3465,0.3473
15,647,36,0.0098,0.3870,0.0627,0.3505,0.3473
16,687,36,0.0096,0.3933,0.0630,0.3537,0.3491
17,728,36,0.0094,0.3990,0.0629,0.3577,0.3493
18,768,36,0.0092,0.4054,0.0630,0.3558,0.3487
19,808,36,0.0090,0.4105,0.0630,0.3526,0.3445
20,849,36,0.0088,0.4154,0.0630,0.3560,0.3507
21,889,36,0.0087,0.4218,0.0632,0.3540,0.3500
22,930,36,0.0084,0.4288,0.0634,0.3537,0.3441
23,970,36,0.0082,0.4334,0.0635,0.3579,0.3519
24,1010,36,0.0081,0.4382,0.0635,0.3587,0.3462
25,1051,36,0.0080,0.4451,0.0637,0.3582,0.3500
26,1091,36,0.0078,0.4524,0.0638,0.3555,0.3479
27,1131,36,0.0077,0.4579,0.0641,0.3569,0.3441
28,1172,36,0.0075,0.4651,0.0642,0.3589,0.3493
29,1212,36,0.0073,0.4712,0.0647,0.3547,0.3481
30,1252,36,0.0072,0.4763,0.0647,0.3510,0.3392
31,1293,36,0.0070,0.4843,0.0649,0.3560,0.3447
32,1333,36,0.0069,0.4907,0.0653,0.3552,0.3440
33,1374,36,0.0068,0.4968,0.0655,0.3539,0.3406
34,1414,36,0.0066,0.5042,0.0659,0.3523,0.3404
35,1454,36,0.0065,0.5106,0.0661,0.3518,0.3417
36,1495,36,0.0064,0.5161,0.0664,0.3519,0.3391
37,1535,36,0.0063,0.5245,0.0666,0.3516,0.3380
38,1575,36,0.0061,0.5309,0.0669,0.3513,0.3396
39,1616,36,0.0060,0.5362,0.0672,0.3475,0.3368
